ok
h,lines,bytes
dashboard/templates/_kanban_board.html,120,4145
dashboard/templates/_kanban_card.html,90,3609
dashboard/templates/_notification.html,5,174
dashboard/templates/_task_children.html,10,267
dashboard/templates/_task_list.html,22,1142
dashboard/templates/_task_row.html,160,6824
dashboard/templates/base.html,142,3470
dashboard/templates/dashboard.html,1202,62133
dashboard/templates/filtered.html,102,4072
dashboard/templates/schedules_listing.html,295,8795
dashboard/templates/syllabi_listing.html,220,6366
dashboard/templates/syllabus_preview.html,523,20736
dashboard/templates/tasks.html,340,11526
templates/course_schedule.html.j2,160,5346
templates/includes/styles.html.j2,36,1178
templates/site/base.html.j2,34,1114
templates/site/generator.html.j2,89,2544
templates/site/index.html.j2,203,7338
templates/site/schedule_embed.html.j2,28,1019
templates/site/schedule_full.html.j2,32,1228
templates/site/syllabus_embed.html.j2,29,1035
templates/site/syllabus_full.html.j2,44,1676
templates/syllabus.html.j2,380,14725
templates/syllabus.md.j2,252,7269
